,150,200,250,500,1000,2000,3000,20000,100000,500000,1000000,50000000
0,0.000176,0.000202,0.000194,0.000135,0.000158,0.000190,0.000210,0.000176,0.068870,0.262711,0.538959,29.403974
1,0.000154,0.000167,0.000241,0.000145,0.000151,0.000172,0.000827,0.013022,0.063017,0.433929,0.543945,26.041090
2,0.000171,0.000199,0.000177,0.000182,0.000393,0.000341,0.000235,0.005166,0.034474,0.150806,0.404567,28.647441
3,0.000213,0.000176,0.000162,0.000182,0.000142,0.000151,0.000181,0.008485,0.038340,0.286462,0.556458,27.385823
4,0.000195,0.000163,0.000174,0.000280,0.000202,0.000161,0.000749,0.006520,0.045231,0.249798,0.484626,27.910890
5,0.000218,0.000181,0.000180,0.000209,0.000198,0.000259,0.000290,0.001321,0.041046,0.272548,0.639673,26.343355
6,0.000203,0.000222,0.000234,0.000188,0.000211,0.000169,0.000210,0.011618,0.055847,0.240760,0.443566,29.343074
7,0.000184,0.000144,0.000211,0.000471,0.000183,0.000168,0.002008,0.007141,0.037234,0.257465,0.510147,25.433929
8,0.000193,0.000222,0.000192,0.000183,0.000204,0.000199,0.000415,0.006905,0.035136,0.265853,0.609974,22.687188
9,0.000222,0.000184,0.000211,0.000164,0.000164,0.000150,0.000189,0.004875,0.058287,0.259675,0.547030,25.107873
