;150;200;250;500;1000;2000;3000;20000;100000;500000;1000000;50000000
0;0,000272;0,000232;0,000272;0,000222;0,000512;0,000189;0,000705;0,012636;0,058507;0,296190;0,633315;32,634106
1;0,000216;0,000186;0,000186;0,000192;0,000664;0,001001;0,002183;0,011476;0,057332;0,305630;0,666367;32,823132
2;0,000214;0,000196;0,000214;0,000213;0,000773;0,001619;0,000764;0,013122;0,062297;0,285493;0,617913;33,454880
3;0,000264;0,000209;0,000231;0,000343;0,000211;0,000273;0,000966;0,011184;0,060828;0,326918;0,661589;32,726498
4;0,000233;0,000228;0,000220;0,000197;0,000222;0,000814;0,001976;0,012391;0,064049;0,312613;0,601802;32,693283
5;0,000212;0,000194;0,000180;0,000281;0,000853;0,000449;0,001045;0,012705;0,062876;0,334787;0,633902;33,083908
6;0,000207;0,000180;0,000248;0,000401;0,000208;0,000215;0,001817;0,012116;0,058127;0,312522;0,657712;32,769386
7;0,000292;0,000222;0,000184;0,000187;0,000231;0,000261;0,002127;0,012645;0,059587;0,321102;0,626639;30,916748
8;0,000216;0,000228;0,000186;0,000188;0,000406;0,000279;0,001245;0,012160;0,065582;0,316774;0,647966;30,602936
9;0,000206;0,000184;0,000196;0,000212;0,000367;0,001505;0,000921;0,012331;0,063469;0,309190;0,680240;34,190434
