Sin_modificar;
150;200;250;500;1000;2000;3000;
0,015456;0,038218;0,067779;0,658226;6,505282;86,178021;313,219495;
0,013690;0,032515;0,067558;0,656734;6,181514;74,430471;279,837029;
0,013833;0,032934;0,065394;0,675493;7,080531;81,143228;295,193808;
0,013947;0,032540;0,067051;0,651259;5,845279;88,324329;292,939993;
0,013530;0,033215;0,064708;0,666921;6,577675;88,297493;313,201135;
0,013990;0,032626;0,068534;0,652173;6,396256;87,208322;314,882993;
0,013547;0,032611;0,065803;0,667406;7,465162;87,802666;309,295918;
0,013579;0,033860;0,064682;0,655624;6,638018;86,270828;310,723668;
0,014187;0,032278;0,065980;0,651370;6,651265;87,261199;311,957495;
0,013624;0,034100;0,064866;0,677372;6,738133;87,708642;311,911163;
OpenMP;
150;200;250;500;1000;2000;3000;
0,037673;0,135873;0,222206;1,862161;22,152726;220,569271;863,596139;
0,048971;0,123717;0,305684;2,371818;27,857996;238,291624;828,783723;
0,036826;0,101981;0,299782;2,220908;25,895127;224,393920;796,465667;
0,034986;0,115809;0,205852;2,159967;25,578421;225,499570;785,861571;
0,026997;0,078899;0,223330;2,075733;25,375185;223,551135;871,901068;
0,036640;0,087236;0,264649;2,169158;24,930483;239,301204;847,252126;
0,035705;0,124958;0,255468;2,161831;25,728588;246,078808;868,061202;
0,087327;0,193018;0,349153;2,571283;25,923621;244,086612;844,270054;
0,034853;0,070954;0,258432;2,200576;25,231401;238,102503;899,337876;
0,060406;0,157701;0,256941;2,421217;27,050152;267,365972;863,741426;
